Tattoo	Disease with this Risk Factor	Hepatitis B	.
Tattoo (Canonical Version) #172	Recorded by	The Double Dates	.
Tattoo (Canonical Version) #172	is-a	Canonical Version	.
Tattoo (Canonical Version) #172	is-a	Musical Recording	.
Tattoo (Canonical Version) #172	is-a	Topic	.
Tattoo (Canonical Version) #176	ISRC	"FRS630300014"	.
Tattoo (Canonical Version) #176	Length	"206.293"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #176	Recorded by	Thomas Winter Et Bogue	.
Tattoo (Canonical Version) #176	Release	Sans titre (Consumer product)	.
Tattoo (Canonical Version) #176	is-a	Canonical Version	.
Tattoo (Canonical Version) #176	is-a	Cataloged instance	.
Tattoo (Canonical Version) #176	is-a	Musical Recording	.
Tattoo (Canonical Version) #176	is-a	Topic	.
Tattoo (Canonical Version) #180	Length	"116.92"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #180	Recorded by	Pussycat Trash	.
Tattoo (Canonical Version) #180	Release	The Brat Years: 1992-1995 (Complete Discography) (Musical Release)	.
Tattoo (Canonical Version) #180	is-a	Canonical Version	.
Tattoo (Canonical Version) #180	is-a	Musical Recording	.
Tattoo (Canonical Version) #180	is-a	Topic	.
Tattoo (Canonical Version) #181	Length	"111.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #181	Recorded by	Sal Mineo	.
Tattoo (Canonical Version) #181	is-a	Canonical Version	.
Tattoo (Canonical Version) #181	is-a	Musical Recording	.
Tattoo (Canonical Version) #181	is-a	Topic	.
Tattoo (Canonical Version) #182	Length	"150.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #182	Recorded by	Grass Widow	.
Tattoo (Canonical Version) #182	is-a	Canonical Version	.
Tattoo (Canonical Version) #182	is-a	Musical Recording	.
Tattoo (Canonical Version) #182	is-a	Topic	.
Tattoo (Canonical Version) #184	Length	"232.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #184	Recorded by	Clemson University TakeNote	.
Tattoo (Canonical Version) #184	is-a	Canonical Version	.
Tattoo (Canonical Version) #184	is-a	Musical Recording	.
Tattoo (Canonical Version) #184	is-a	Topic	.
Tattoo (Canonical Version) #20	Length	"208.426"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #20	Recorded by	Harbour Kings	.
Tattoo (Canonical Version) #20	is-a	Canonical Version	.
Tattoo (Canonical Version) #20	is-a	Musical Recording	.
Tattoo (Canonical Version) #20	is-a	Topic	.
Tattoo (Canonical Version) #21	Length	"205.56"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #21	Recorded by	Kix Brooks	.
Tattoo (Canonical Version) #21	is-a	Canonical Version	.
Tattoo (Canonical Version) #21	is-a	Musical Recording	.
Tattoo (Canonical Version) #21	is-a	Topic	.
Tattoo (Canonical Version) #22	Length	"1706.666"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #22	Recorded by	The McRackins	.
Tattoo (Canonical Version) #22	Release	Comicbooks And Bubblegum (Musical Release)	.
Tattoo (Canonical Version) #22	is-a	Canonical Version	.
Tattoo (Canonical Version) #22	is-a	Musical Recording	.
Tattoo (Canonical Version) #22	is-a	Topic	.
Tattoo (Canonical Version) #28	Length	"112.666"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #28	Recorded by	Wendy Beckerman	.
Tattoo (Canonical Version) #28	is-a	Canonical Version	.
Tattoo (Canonical Version) #28	is-a	Musical Recording	.
Tattoo (Canonical Version) #28	is-a	Topic	.
Tattoo (Canonical Version) #4	Recorded by	m/0qgx8gq	.
Tattoo (Canonical Version) #4	is-a	Canonical Version	.
Tattoo (Canonical Version) #4	is-a	Musical Recording	.
Tattoo (Canonical Version) #4	is-a	Topic	.
Tattoo (Canonical Version) #44	Length	"229.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #44	Recorded by	DOUBLE (Musical Group)	.
Tattoo (Canonical Version) #44	is-a	Canonical Version	.
Tattoo (Canonical Version) #44	is-a	Musical Recording	.
Tattoo (Canonical Version) #44	is-a	Topic	.
Tattoo (Canonical Version) #47	Length	"263.549"^^<http://www.w3.org/2001/XMLSchema#float>	.
Tattoo (Canonical Version) #47	Recorded by	Bugs Henderson and the Shuffle Kings	.
Tattoo (Canonical Version) #47	is-a	Canonical Version	.
