Mask (Canonical Version) #150	is-a	Musical Recording	.
Mask (Canonical Version) #150	is-a	Topic	.
Mask (Canonical Version) #17	Length	"181.973"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #17	Recorded by	Dypsomaniaxe (Musical Artist)	.
Mask (Canonical Version) #17	Release	One Too Many (Musical Release)	.
Mask (Canonical Version) #17	is-a	Canonical Version	.
Mask (Canonical Version) #17	is-a	Musical Recording	.
Mask (Canonical Version) #17	is-a	Topic	.
Mask (Canonical Version) #27	Length	"22.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #27	Recorded by	Dead In The Dirt	.
Mask (Canonical Version) #27	is-a	Canonical Version	.
Mask (Canonical Version) #27	is-a	Musical Recording	.
Mask (Canonical Version) #27	is-a	Topic	.
Mask (Canonical Version) #36	Length	"383.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #36	Recorded by	Folly and the Hunter	.
Mask (Canonical Version) #36	is-a	Canonical Version	.
Mask (Canonical Version) #36	is-a	Musical Recording	.
Mask (Canonical Version) #36	is-a	Topic	.
Mask (Canonical Version) #4	Length	"289.23"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #4	Recorded by	Living Sacrifice	.
Mask (Canonical Version) #43	Length	"207.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #43	Recorded by	Lost Area	.
Mask (Canonical Version) #43	is-a	Canonical Version	.
Mask (Canonical Version) #43	is-a	Musical Recording	.
Mask (Canonical Version) #43	is-a	Topic	.
Mask (Canonical Version) #48	Length	"373.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #48	Recorded by	Mudslinger (Musical Group)	.
Mask (Canonical Version) #50	Length	"223.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #50	Recorded by	m/0q95888	.
Mask (Canonical Version) #50	is-a	Canonical Version	.
Mask (Canonical Version) #50	is-a	Musical Recording	.
Mask (Canonical Version) #50	is-a	Topic	.
Mask (Canonical Version) #56	Length	"350.08"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #56	Recorded by	Ananta (Musical Group) #1	.
Mask (Canonical Version) #56	Release	Nuclear Angel (Musical Release)	.
Mask (Canonical Version) #56	is-a	Canonical Version	.
Mask (Canonical Version) #56	is-a	Musical Recording	.
Mask (Canonical Version) #56	is-a	Topic	.
Mask (Canonical Version) #6	Length	"219.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #6	Recorded by	Greyhound (Musical Artist)	.
Mask (Canonical Version) #6	Release	Minimal Communication (Compact Disc Musical Release)	.
Mask (Canonical Version) #6	is-a	Canonical Version	.
Mask (Canonical Version) #6	is-a	Musical Recording	.
Mask (Canonical Version) #6	is-a	Topic	.
Mask (Canonical Version) #62	Length	"150.6"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #62	Recorded by	Rollins Band	.
Mask (Canonical Version) #62	Release	Turned On (Musical Release)	.
Mask (Canonical Version) #62	is-a	Canonical Version	.
Mask (Canonical Version) #62	is-a	Musical Recording	.
Mask (Canonical Version) #62	is-a	Topic	.
Mask (Canonical Version) #63	Recorded by	Wires on Fire	.
Mask (Canonical Version) #63	is-a	Canonical Version	.
Mask (Canonical Version) #63	is-a	Musical Recording	.
Mask (Canonical Version) #63	is-a	Topic	.
Mask (Canonical Version) #70	Length	"305.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #70	Recorded by	Sleeppers	.
Mask (Canonical Version) #70	Release	Cut Off... (Musical Release)	.
Mask (Canonical Version) #70	is-a	Canonical Version	.
Mask (Canonical Version) #70	is-a	Musical Recording	.
Mask (Canonical Version) #70	is-a	Topic	.
Mask (Canonical Version) #71	Length	"208.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #71	Recorded by	Fiona Morris (Musical Artist)	.
Mask (Canonical Version) #71	Release	Brand New Day (Musical Release) #1	.
Mask (Canonical Version) #71	is-a	Canonical Version	.
Mask (Canonical Version) #71	is-a	Musical Recording	.
Mask (Canonical Version) #71	is-a	Topic	.
Mask (Canonical Version) #75	Length	"296.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #75	Recorded by	Lil Silva	.
Mask (Canonical Version) #75	is-a	Canonical Version	.
Mask (Canonical Version) #75	is-a	Musical Recording	.
Mask (Canonical Version) #75	is-a	Topic	.
Mask (Canonical Version) #80	Length	"325.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #80	Recorded by	Kelli Sae	.
Mask (Canonical Version) #80	is-a	Canonical Version	.
Mask (Canonical Version) #80	is-a	Musical Recording	.
Mask (Canonical Version) #80	is-a	Topic	.
Mask (Canonical Version) #85	Length	"153.84"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #85	Recorded by	H2O	.
Mask (Canonical Version) #85	Release	H₂O (Musical Release)	.
Mask (Canonical Version) #85	is-a	Canonical Version	.
Mask (Canonical Version) #85	is-a	Musical Recording	.
Mask (Canonical Version) #85	is-a	Topic	.
Mask (Canonical Version) #86	Length	"270.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #86	Recorded by	m/0tt3yp_	.
Mask (Canonical Version) #86	is-a	Canonical Version	.
Mask (Canonical Version) #86	is-a	Musical Recording	.
Mask (Canonical Version) #86	is-a	Topic	.
Mask (Canonical Version) #87	Length	"484.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #87	Recorded by	Oliver Lake	.
Mask (Canonical Version) #87	is-a	Canonical Version	.
Mask (Canonical Version) #87	is-a	Musical Recording	.
Mask (Canonical Version) #87	is-a	Topic	.
Mask (Canonical Version) #92	Length	"266.96"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #92	Recorded by	Gia Lucid	.
Mask (Canonical Version) #92	Release	Speechless (Musical Release) #152	.
Mask (Canonical Version) #92	is-a	Canonical Version	.
Mask (Canonical Version) #92	is-a	Musical Recording	.
Mask (Canonical Version) #92	is-a	Topic	.
Mask (Canonical Version) #93	Length	"456.0"^^<http://www.w3.org/2001/XMLSchema#float>	.
Mask (Canonical Version) #93	Recorded by	m/0y8wstb	.
Mask (Canonical Version) #93	is-a	Canonical Version	.
Mask (Canonical Version) #93	is-a	Musical Recording	.
Mask (Canonical Version) #93	is-a	Topic	.
Mask (Canonical Version) #98	Recorded by	Shovel (Musical Artist)	.
Mask (Canonical Version) #98	Release	Latitude 60° Low (Musical Release)	.
Mask (Canonical Version) #98	is-a	Canonical Version	.
